[18-Jun-2015 15:45:00 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/learning-laravel-5/app/Http/Controllers/PagesController.php on line 19
[18-Jun-2015 15:45:00 UTC] PHP  33. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 15:45:00 UTC] PHP  34. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 15:45:00 UTC] PHP  35. Illuminate\Routing\Route->run() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:702
[18-Jun-2015 15:45:00 UTC] PHP  36. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Route.php:133
[18-Jun-2015 15:45:00 UTC] PHP  37. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Route.php:200
[18-Jun-2015 15:45:00 UTC] PHP  38. Illuminate\Routing\ControllerDispatcher->makeController() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:56
[18-Jun-2015 15:45:00 UTC] PHP  39. Illuminate\Foundation\Application->make() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:84
[18-Jun-2015 15:45:00 UTC] PHP  40. Illuminate\Container\Container->make() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:643
[18-Jun-2015 15:45:00 UTC] PHP  41. Illuminate\Container\Container->build() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Container/Container.php:626
[18-Jun-2015 15:45:00 UTC] PHP  42. ReflectionClass->__construct() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Container/Container.php:736
[18-Jun-2015 15:45:00 UTC] PHP  43. spl_autoload_call() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Container/Container.php:736
[18-Jun-2015 15:45:00 UTC] PHP  44. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Container/Container.php:736
[18-Jun-2015 15:45:00 UTC] PHP  45. Composer\Autoload\includeFile() /home/ubuntu/workspace/learning-laravel-5/vendor/composer/ClassLoader.php:301
[18-Jun-2015 16:21:41 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/learning-laravel-5/storage/framework/views/29161df8e15b4982d3916cfe4a1acafa on line 8
[18-Jun-2015 16:21:41 UTC] PHP Stack trace:
[18-Jun-2015 16:21:41 UTC] PHP   1. {main}() /home/ubuntu/workspace/learning-laravel-5/public/index.php:0
[18-Jun-2015 16:21:41 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/learning-laravel-5/public/index.php:54
[18-Jun-2015 16:21:41 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:86
[18-Jun-2015 16:21:41 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:118
[18-Jun-2015 16:21:41 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP   6. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP   8. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP   9. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:42
[18-Jun-2015 16:21:41 UTC] PHP  10. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  11. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  12. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[18-Jun-2015 16:21:41 UTC] PHP  13. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  14. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  15. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[18-Jun-2015 16:21:41 UTC] PHP  16. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  17. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  18. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:61
[18-Jun-2015 16:21:41 UTC] PHP  19. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  20. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:54
[18-Jun-2015 16:21:41 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  23. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[18-Jun-2015 16:21:41 UTC] PHP  24. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[18-Jun-2015 16:21:41 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  26. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  27. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:229
[18-Jun-2015 16:21:41 UTC] PHP  28. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:629
[18-Jun-2015 16:21:41 UTC] PHP  29. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:669
[18-Jun-2015 16:21:41 UTC] PHP  30. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:704
[18-Jun-2015 16:21:41 UTC] PHP  31. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP  32. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP  33. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  34. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  35. Illuminate\Routing\Route->run() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:702
[18-Jun-2015 16:21:41 UTC] PHP  36. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Route.php:133
[18-Jun-2015 16:21:41 UTC] PHP  37. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Route.php:200
[18-Jun-2015 16:21:41 UTC] PHP  38. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:68
[18-Jun-2015 16:21:41 UTC] PHP  39. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:113
[18-Jun-2015 16:21:41 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[18-Jun-2015 16:21:41 UTC] PHP  42. call_user_func:{/home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  43. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[18-Jun-2015 16:21:41 UTC] PHP  44. Illuminate\Routing\Router->prepareResponse() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[18-Jun-2015 16:21:41 UTC] PHP  45. Symfony\Component\HttpFoundation\Response->__construct() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Routing/Router.php:1223
[18-Jun-2015 16:21:41 UTC] PHP  46. Illuminate\Http\Response->setContent() /home/ubuntu/workspace/learning-laravel-5/vendor/symfony/http-foundation/Response.php:202
[18-Jun-2015 16:21:41 UTC] PHP  47. Illuminate\View\View->render() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/Http/Response.php:51
[18-Jun-2015 16:21:41 UTC] PHP  48. Illuminate\View\View->renderContents() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/View.php:80
[18-Jun-2015 16:21:41 UTC] PHP  49. Illuminate\View\View->getContents() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/View.php:106
[18-Jun-2015 16:21:41 UTC] PHP  50. Illuminate\View\Engines\CompilerEngine->get() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/View.php:137
[18-Jun-2015 16:21:41 UTC] PHP  51. Illuminate\View\Engines\PhpEngine->evaluatePath() /home/ubuntu/workspace/learning-laravel-5/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:58
